publicationId,title,year,facultyRelationships,reviewDecision,visibilityAfterPublish,reviewNotes
connectivity-and-impact-assessment-of-land-use-cover-and-benthic-cover-change-cb67f416,Connectivity and impact assessment of land use/cover and benthic cover change by advance remote sensing analysis,2005,ariel-c-blanco,pending-review,internal,
2005-6ce15bb3,衛星データに基づく八重山諸島における土地利用・植生被覆の長期的変遷と周辺サンゴ礁域の海底被覆状態変化の関係解析,2005,ariel-c-blanco,pending-review,internal,
a-comparative-assessment-and-estimation-of-potential-soil-erosion-rates-and-pa-53d134bc,A Comparative Assessment and Estimation of Potential Soil Erosion Rates and Patterns in Laguna Lake Watershed Using Three Models,2006,ariel-c-blanco,pending-review,internal,
a-comparative-assessment-and-estimation-of-potential-soil-erosion-rates-and-pa-a504171c,A Comparative Assessment and Estimation of Potential Soil Erosion Rates and Patterns in Laguna Lake Watershed Using Three Models: Towards Development of an Erosion Index System for Integrated Watershed-Lake Management,2006,ariel-c-blanco,pending-review,internal,
complementarity-of-sensor-based-measurements-and-community-perception-for-moni-7044512d,Complementarity of sensor-based measurements and community perception for monitoring and management of seawater quality,2006,ariel-c-blanco,pending-review,internal,
a-multi-scale-investigation-of-environmental-controls-onn-shiraho-coral-reef-t-3cc2ef2c,"A multi-scale investigation of environmental controls onn Shiraho Coral Reef through Field Measurements, Remote Sensing and GIS",2007,ariel-c-blanco,pending-review,internal,
coral-mortality-discrimination-and-change-detection-using-landsat-tm-and-etm-i-3dad614c,"Coral mortality discrimination and change detection using Landsat TM And ETM+ imageries of Balabac, Palawan",2007,margaux-angelica-a-cruz,pending-review,internal,
integrated-analysis-of-socio-economic-and-environmental-statistics-towards-dev-595c86ae,Integrated analysis of socio-economic and environmental statistics towards development of coupled economy-environment indicators for Fiji and Samoa,2007,ariel-c-blanco,pending-review,internal,
integrated-socio-environmental-investigation-of-water-quality-condition-in-pue-3534261f,Integrated socio-environmental investigation of water quality condition in Puerto Galera: The Decision Supported System Development,2007,ariel-c-blanco,pending-review,internal,
spatial-and-temporal-distribution-composition-of-nutrients-microalgae-and-cdom-5e145ef6,"Spatial and temporal distribution composition of nutrients, microalgae and CDOM in Shiraoh reef, ishigaki island",2007,ariel-c-blanco,pending-review,internal,
water-balance-analysis-of-laguna-de-bay-philippines-with-focus-on-lake-water-u-13ecf836,"Water balance analysis of Laguna de Bay, Philippines with focus on lake-water use and salinity intrusion",2007,ariel-c-blanco,pending-review,internal,
comprehensive-circulation-and-water-quality-investigation-of-the-coastal-lagoo-7aa94dd8,"Comprehensive circulation and water quality investigation of the coastal lagoon: Puerto Galera, The Philippines",2008,ariel-c-blanco,pending-review,internal,
planktonic-and-benthic-microalgal-community-composition-as-indicators-of-terre-80546387,"Planktonic and benthic microalgal community composition as indicators of terrestrial influence on a fringing reef in Ishigaki Island, Southwest Japan",2008,ariel-c-blanco,pending-review,internal,
assessment-of-philippine-coastal-vulnerability-to-sea-level-rise-using-rs-and-a026c99f,"Assessment of Philippine Coastal Vulnerability to Sea Level Rise Using RS and GIS: A Case Study of Bolinao, Pangasinan",2009,ariel-c-blanco,pending-review,internal,
a-comprehensive-assessment-of-terrestrial-loadings-and-their-influence-on-a-fr-0ae8d66e,"A comprehensive assessment of terrestrial loadings and their influence on a fringing reef in Ishigaki Island, Okinawa, Japan",2010,ariel-c-blanco,pending-review,internal,Deduplicated from 2 identical title/year source rows.
dynamic-evolution-of-nutrient-discharge-under-stormflow-and-baseflow-condition-781ae7d6,"Dynamic evolution of nutrient discharge under stormflow and baseflow conditions in a coastal agricultural watershed in Ishigaki Island, Okinawa, Japan",2010,ariel-c-blanco,pending-review,internal,
remote-sensing-and-gis-based-assessment-of-coastal-vulnerability-of-bolinao-pa-e362e20b,"Remote sensing and GIS-based assessment of coastal vulnerability of Bolinao, Pangasinan to sea level rise",2010,ariel-c-blanco,pending-review,internal,
roles-of-sporadic-intrusion-of-outer-sea-water-in-water-exchange-and-water-qua-f12c2d60,"Roles of sporadic intrusion of outer sea water in water exchange and water quality variations in the coastal lagoon of puerto galera, philippines",2010,ariel-c-blanco,pending-review,internal,
a-partnership-for-sustainable-lake-environment-collaborative-monitoring-and-re-1f55a6ce,"A partnership for sustainable lake environment: collaborative monitoring and research on Laguna de Bay, Philippines, for management of resource use and ecosystem conservation",2011,ariel-c-blanco,pending-review,internal,Deduplicated from 2 identical title/year source rows.
advanced-systems-for-detection-of-toxic-substances-towards-a-more-eco-efficien-4989e592,ADVANCED SYSTEMS FOR DETECTION OF TOXIC SUBSTANCES. TOWARDS A MORE ECO-EFFICIENT AIRCRAFT,2011,ariel-c-blanco,pending-review,internal,
estimation-of-nearshore-groundwater-discharge-and-its-potential-effects-on-a-f-dfbb376c,Estimation of nearshore groundwater discharge and its potential effects on a fringing coral reef,2011,ariel-c-blanco,pending-review,internal,
assessment-of-coastal-vulnerability-to-sea-level-rise-of-bolinao-pangasinan-us-63e12e19,"Assessment of coastal vulnerability to sea level rise of Bolinao, Pangasinan using remote sensing and geographic information systems",2012,ariel-c-blanco,pending-review,internal,
assessment-of-coastal-vulnerability-to-sea-level-rise-using-remote-sensing-rs-1f8cacfa,"Assessment of coastal vulnerability to sea level rise using remote sensing (RS) and geographic information systems (GIS): a case study of Bolinao, Pangasinan, Philippines",2012,ariel-c-blanco,pending-review,internal,
climate-change-impact-assessment-on-soil-loss-rate-in-a-large-river-basin-usin-f9b44869,"Climate Change Impact Assessment on Soil Loss Rate in a Large River Basin Using SWAT Model, RS and GIS",2012,ariel-c-blanco,pending-review,internal,
extraction-of-benthic-cover-information-from-video-tows-and-photographs-using-cdddf666,Extraction of benthic cover information from video tows and photographs using object-based image analysis,2012,ariel-c-blanco,pending-review,internal,
integrated-use-of-electrical-resistance-tomography-and-radon-monitoring-for-ch-05865674,INTEGRATED USE OF ELECTRICAL RESISTANCE TOMOGRAPHY AND RADON MONITORING FOR CHARACTERIZING SUBMARINE GROUNDWATER DISCHARGE DYNAMICS IN A FRINGING REEF,2012,ariel-c-blanco,pending-review,internal,
integrated-use-of-remote-sensing-gis-and-swat-model-to-explore-climate-change-dea1dba8,"Integrated use of remote sensing, GIS and swat model to explore climate change effects on river discharge in the Cagayan river Basin and land cover-based adaptation measures",2012,ariel-c-blanco,pending-review,internal,
key-biodiversity-areas-in-the-philippines-priorities-for-conservation-2012-186d6812,Key biodiversity areas in the Philippines: priorities for conservation,2012,margaux-angelica-a-cruz,pending-review,internal,
sediment-discharge-from-an-agricultural-watershed-investigating-the-influence-6cf2e887,Sediment discharge from an agricultural watershed: investigating the influence of land-cover fragmentation using the GSSHA model,2012,ariel-c-blanco,pending-review,internal,
evaluating-mean-sea-level-anomalies-for-the-philippines-using-satellite-altime-72982352,EVALUATING MEAN SEA LEVEL ANOMALIES FOR THE PHILIPPINES USING SATELLITE ALTIMETRY DATA AND GEOGRAPHIC INFORMATION SYSTEMS (GIS),2013,ariel-c-blanco,pending-review,internal,
improved-classification-of-moderate-resolution-satellite-image-using-band-rati-ca0eaf82,"IMPROVED CLASSIFICATION OF MODERATE RESOLUTION SATELLITE IMAGE USING BAND RATIO, NBAI AND PC TRANSFORM",2013,ariel-c-blanco,pending-review,internal,
mapping-of-seagrass-and-other-benthic-habitats-in-bolinao-pangasinan-using-wor-19106cde,"Mapping of seagrass and other benthic habitats in Bolinao, Pangasinan using Worldview-2 satellite image",2013,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
phenological-changes-in-alaminos-and-bani-watersheds-derived-using-modis-data-f2c36ea3,Phenological Changes in Alaminos and Bani Watersheds Derived Using MODIS Data: Indications of Salinity Intrusion,2013,ariel-c-blanco,pending-review,internal,
seasonal-variability-of-water-quality-around-patch-reefs-inside-a-lagoon-from-24a3a297,Seasonal variability of water quality around patch reefs inside a lagoon from its interaction with outer sea,2013,ariel-c-blanco,pending-review,internal,
spatiotemporal-variations-in-co2-flux-in-a-fringing-reef-simulated-using-a-nov-c8064ef1,Spatiotemporal variations in CO2 flux in a fringing reef simulated using a novel carbonate system dynamics model,2013,ariel-c-blanco,pending-review,internal,
swat-model-for-assessment-of-climate-change-and-land-use-land-cover-change-imp-bfef776d,Swat Model for Assessment of Climate Change and Land Use/Land Cover Change Impact on Philippine Soil Loss and Exploration of Land Cover-Based Mitigation Measures: Case of Cagayan,2013,ariel-c-blanco,pending-review,internal,
3dgis-based-multi-agent-geosimulation-and-visualization-of-building-evacuation-882b11a4,3DGIS-based multi-agent geosimulation and visualization of building evacuation using GAMA platform,2014,ariel-c-blanco,pending-review,internal,
a-framework-for-assessing-risk-from-natural-hazards-including-climate-change-f-e5b67e9f,"A FRAMEWORK FOR ASSESSING RISK FROM NATURAL HAZARDS INCLUDING CLIMATE CHANGE FOR WATER, WASTEWATER AND SOLID WASTE SERVICES",2014,ariel-c-blanco,pending-review,internal,
assessment-of-water-quality-variations-in-san-juan-river-using-gis-and-multiva-d43738e5,Assessment of water quality variations in San Juan River using GIS and multivariate statistical techniques,2014,ariel-c-blanco,pending-review,internal,
change-in-seagrass-fractional-cover-in-bolinao-and-anda-philippines-derived-fr-72368896,"Change in seagrass fractional cover in Bolinao and Anda, Philippines, derived from Landsat images",2014,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
coupling-artificial-neural-networks-and-genetic-algorithms-in-redesigning-exis-911c9cd4,Coupling artificial neural networks and genetic algorithms in redesigning existing cities for flood resistance,2014,ariel-c-blanco,pending-review,internal,
development-and-applications-of-an-integrated-decision-support-system-for-real-025efd31,Development and Applications of an Integrated Decision Support System for realizing Sustainable Aquaculture and Coastal Ecosystem in Bolinao and its surrounding areas,2014,ariel-c-blanco,pending-review,internal,
feature-classification-using-supervised-classification-support-vector-machines-fed1adbe,FEATURE CLASSIFICATION USING SUPERVISED CLASSIFICATION SUPPORT VECTOR MACHINES,2014,ariel-c-blanco,pending-review,internal,
geovisualization-of-land-use-and-zoning-ordinances-in-boracay-island-malay-akl-48ff746a,"Geovisualization of Land Use and Zoning Ordinances in Boracay Island, Malay, Aklan",2014,ariel-c-blanco,pending-review,internal,
a-multi-scale-approach-for-benthic-habitat-mapping-of-shallow-water-region-of-1a90250a,"A multi-scale approach for benthic habitat mapping of shallow water region of Guiuan, Eastern Samar using a 4-band high resolution WorldView-2 satellite image using object-based image analysis",2015,ayin-m-tamondong,pending-review,internal,
combining-watershed-transformation-and-local-maxima-approach-in-developing-a-t-0f499afb,Combining Watershed Transformation and Local Maxima Approach in Developing a Tree Detection and Counting Methodology using Object-Based Image Analysis,2015,ariel-c-blanco,pending-review,internal,
development-of-the-philippine-hydrologic-dataset-phd-from-lidar-and-other-remo-f661fea6,Development of the Philippine Hydrologic Dataset (PHD) from LiDAR and other remotely-sensed data,2015,ariel-c-blanco,pending-review,internal,
evaluation-of-canny-edge-detection-and-muti-threshold-segmentation-technique-f-8ca1fd17,Evaluation of Canny Edge Detection and Muti-Threshold Segmentation Technique for Precise Mapping and Inventory of Aquaculture Ponds in Coastal Areas,2015,ayin-m-tamondong,pending-review,internal,
geostatistical-analysis-of-water-quality-in-bolinao-pangasinan-2015-df91c8bc,"GEOSTATISTICAL ANALYSIS OF WATER QUALITY IN BOLINAO, PANGASINAN",2015,ariel-c-blanco,pending-review,internal,
hydrodynamic-investigation-of-a-shallow-tropical-lake-environment-laguna-lake-1a41c342,"Hydrodynamic investigation of a shallow tropical lake environment (Laguna Lake, Philippines) and associated implications for eutrophic vulnerability",2015,ariel-c-blanco,pending-review,internal,
light-detection-and-ranging-lidar-data-processing-and-classification-for-bathy-f90e020b,LIGHT DETECTION AND RANGING (LIDAR) DATA PROCESSING AND CLASSIFICATION FOR BATHYMETRIC DEM GENERATION OF PHILIPPINE SHALLOW WATERS,2015,jommer-m-medina,pending-review,internal,
mangrove-forest-extent-mapping-in-siargao-island-surigao-del-norte-philippines-37448696,"MANGROVE FOREST EXTENT MAPPING IN SIARGAO ISLAND, SURIGAO DEL NORTE, PHILIPPINES USING SUPPORT VECTOR MACHINE (SVM) CLASSIFICATION",2015,ariel-c-blanco,pending-review,internal,
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-569f6518,Mangrove forest extent mapping in Southwestern Luzon using 2015 landsat imagery,2015,ayin-m-tamondong,pending-review,internal,
multi-agent-geo-simulation-of-building-evacuation-from-3dgis-dataset-of-melcho-3dd4644c,"MULTI-AGENT GEO-SIMULATION OF BUILDING EVACUATION FROM 3DGIS DATASET OF MELCHOR HALL, UP DILIMAN",2015,ariel-c-blanco,pending-review,internal,
object-based-image-analysis-for-benthic-habitat-mapping-using-lidar-derivative-f688a4e2,Object-Based Image Analysis for Benthic Habitat Mapping using LiDAR Derivatives,2015,ayin-m-tamondong,pending-review,internal,
object-based-image-analysis-for-mangroves-extraction-using-lidar-datasets-and-65061e15,Object-based image analysis for mangroves extraction using LIDAR datasets and orthophoto,2015,ayin-m-tamondong,pending-review,internal,
the-phil-lidar-2-program-national-resource-inventory-of-the-philippines-using-c42abbf8,The Phil-LiDAR 2 program: National resource inventory of the Philippines using LiDAR and other remotely sensed data,2015,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
the-phil-lidar-2-program-national-resource-inventory-of-the-philippines-using-61ba2bf3,The Phil-LiDAR 2 Program: National resource inventory of the Philippines using LiDAR and other remotely sensed Data. The International Archives of the Photogrammetry,2015,ayin-m-tamondong,pending-review,internal,
a-framework-for-capacity-building-in-mapping-coastal-resources-using-remote-se-58429141,A framework for capacity building in mapping coastal resources using remote sensing in the Philippines,2016,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
an-agent-based-approach-to-modeling-poverty-in-the-philippines-2016-70f113a1,An agent-based approach to modeling poverty in the Philippines,2016,ariel-c-blanco,pending-review,internal,
assessment-of-point-cloud-analysis-in-improving-object-based-agricultural-land-8b3080a6,"Assessment of point cloud analysis in improving object-based agricultural land cover classification using discrete LIDAR data in Cabadbaran, Agusan del Norte, Philippines",2016,ariel-c-blanco,pending-review,internal,
automated-calculation-of-cloud-cover-from-rgb-composite-of-landsat-8-and-diwat-3907b005,Automated calculation of cloud cover from rgb composite of landsat 8 and diwata-1 satellite imagery,2016,ayin-m-tamondong,pending-review,internal,
design-of-a-free-and-open-source-data-processing-archiving-and-distribution-su-22dc5ef8,"DESIGN OF A FREE AND OPEN SOURCE DATA PROCESSING, ARCHIVING, AND DISTRIBUTION SUBSYSTEM FOR THE GROUND RECEIVING STATION OF THE PHILIPPINE SCIENTIFIC EARTH OBSERVATION MICRO-SATELLITE",2016,ayin-m-tamondong,pending-review,internal,
elucidating-factors-of-seagrass-fractional-cover-change-using-spatial-regressi-e289c38b,Elucidating factors of seagrass fractional cover change using spatial regression,2016,ariel-c-blanco,pending-review,internal,
georeferencing-uas-derivatives-through-point-cloud-registration-with-archived-0a6e97cf,Georeferencing UAS derivatives through point cloud registration with archived lidar datasets,2016,ariel-c-blanco,pending-review,internal,
landsat-based-detection-and-severity-analysis-of-burned-sugarcane-plots-in-tar-4fbd47f7,"Landsat-based detection and severity analysis of burned sugarcane plots in tarlac, philippines using differenced normalized burn ratio (dNBR)",2016,ariel-c-blanco,pending-review,internal,
mangrove-classification-through-the-use-of-object-oriented-classification-and-086c2c9d,"Mangrove classification through the use of object oriented classification and support vector machine of lidar datasets: a case study in Naawan and Manticao, Misamis Oriental, Philippines",2016,ayin-m-tamondong,pending-review,internal,
mapping-of-coral-reefs-using-the-combined-bathymetric-lidar-and-casi-datasets-41d5d4fb,Mapping of coral reefs using the combined bathymetric lidar and CASI datasets (Conference Presentation),2016,ayin-m-tamondong,pending-review,internal,
nationwide-natural-resource-inventory-of-the-philippines-using-lidar-strategie-96a9a411,"Nationwide natural resource inventory of the Philippines using LiDAR: strategies, progress, and challenges",2016,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
rapid-assessment-of-seagrass-cover-change-using-mixture-tuned-matched-filterin-8e0d161b,RAPID ASSESSMENT OF SEAGRASS COVER CHANGE USING MIXTURE TUNED MATCHED FILTERING,2016,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
rs-based-water-resources-inventory-of-the-philippines-capacity-building-effort-86bd5e8e,Rs-Based Water Resources Inventory of the Philippines: Capacity Building Efforts for Nationwide Implementation,2016,ariel-c-blanco,pending-review,internal,
seagrass-cover-change-mapping-in-the-bolinao-anda-area-2016-3b3648d4,Seagrass Cover Change Mapping in the Bolinao-Anda Area,2016,ariel-c-blanco,pending-review,internal,
species-diversity-of-tropical-seagrasses-affect-fish-assemblage-structures-aro-7059f324,"Species diversity of tropical seagrasses affect fish assemblage structures, around Santiago Island, Bolinao, northwestern Philippines",2016,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
using-spatial-point-pattern-analysis-as-supplement-for-object-based-image-clas-fd119470,Using spatial point pattern analysis as supplement for object-based image classification of tree clusters,2016,ariel-c-blanco,pending-review,internal,
3d-visualization-of-mangrove-and-aquaculture-conversion-in-banate-bay-iloilo-2-71aff7d3,"3d visualization of mangrove and aquaculture conversion in Banate Bay, Iloilo",2017,ayin-m-tamondong,pending-review,internal,
a-dynamic-model-to-assess-mariculture-induced-environmental-impacts-on-seagras-4ed74e55,"A dynamic model to assess mariculture-induced environmental impacts on seagrass beds along coasts of Bolinao and Anda, Philippines",2017,ariel-c-blanco,pending-review,internal,
assessing-the-vulnerability-of-agricultural-crops-to-riverine-floods-in-kalibo-36ca7aa4,"Assessing the Vulnerability of Agricultural Crops to Riverine Floods in Kalibo, Philippines using Composite Index Method.",2017,ariel-c-blanco,pending-review,internal,
combination-of-modis-vegetation-indices-grace-terrestrial-water-storage-change-3f36d25e,"Combination of MODIS Vegetation Indices, GRACE Terrestrial Water Storage Changes, and In-Situ Measurements for Drought Assessment in Cagayan River Basin, Philippines",2017,ariel-c-blanco,pending-review,internal,
comparative-assessment-of-water-column-correction-techniques-for-seagrass-mapp-166ef66c,Comparative Assessment of Water Column Correction Techniques for Seagrass Mapping Using Worldview-2 Image,2017,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
creating-a-spectral-library-of-coastal-resources-in-the-philippines-2017-92daf551,CREATING A SPECTRAL LIBRARY OF COASTAL RESOURCES IN THE PHILIPPINES,2017,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
development-of-mapping-design-for-agricultural-features-extracted-from-lidar-d-d0d6ebf8,Development of Mapping Design for Agricultural Features Extracted from LiDAR Datasets.,2017,ariel-c-blanco,pending-review,internal,
exploring-climate-change-effects-on-watershed-sediment-yield-and-land-cover-ba-7e56288c,"EXPLORING CLIMATE CHANGE EFFECTS ON WATERSHED SEDIMENT YIELD AND LAND COVER-BASED MITIGATION MEASURES USING SWAT MODEL, RS AND GIS: CASE OF CAGAYAN RIVER BASIN, PHILIPPINES",2017,ariel-c-blanco,pending-review,internal,
extraction-of-seagrass-biophysical-parameters-using-unmanned-aerial-systems-ua-01a2b9f9,EXTRACTION OF SEAGRASS BIOPHYSICAL PARAMETERS USING UNMANNED AERIAL SYSTEMS (UAS),2017,ayin-m-tamondong,pending-review,internal,
feature-extraction-and-descriptor-calculation-methods-for-automatic-georeferen-73f0f959,Feature extraction and descriptor calculation methods for automatic georeferencing of Philippines' first microsatellite imagery,2017,ayin-m-tamondong,pending-review,internal,
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-12c515aa,Mangrove Forest Extent Mapping in Southwestern Luzon Using 2015 Landsat Imagery,2017,ariel-c-blanco,pending-review,internal,
nationwide-mapping-of-coastal-resources-in-the-philippines-using-remote-sensin-def124ae,Nationwide mapping of coastal resources in the Philippines using remote sensing,2017,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
quality-assessment-and-control-of-outputs-of-a-nationwide-agricultural-land-co-7078d826,Quality assessment and control of outputs of a nationwide agricultural land cover mapping program using LIDAR: PHIL-LIDAR 2 parmap experience,2017,ariel-c-blanco,pending-review,internal,
spectral-discrimination-of-coral-reef-environment-using-derivative-analysis-20-5eaf5d28,Spectral discrimination of coral reef environment using derivative analysis,2017,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
3d-visualization-of-building-interior-using-omnidirectional-images-2018-65769e81,3D Visualization of Building Interior using Omnidirectional Images,2018,ariel-c-blanco,pending-review,internal,
a-blend-then-index-method-of-fusing-landsat-and-modis-satellite-images-using-e-07dd55d0,A BLEND-THEN-INDEX METHOD OF FUSING LANDSAT AND MODIS SATELLITE IMAGES USING ENCHANCED SPATIAL AND TEMPORAL ADAPTIVE REFLECTANCE FUSION MODEL (ESTARFM),2018,ariel-c-blanco,pending-review,internal,
assessment-of-landsat-8-based-indices-for-water-quality-parameter-estimation-i-b4ab19ea,"Assessment of Landsat 8-based indices for water quality parameter estimation in Laguna de Bay, Philippines",2018,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
building-construction-progress-monitoring-using-unmanned-aerial-system-uas-low-e27b47d6,"Building construction progress monitoring using unmanned aerial system (UAS), low-cost photogrammetry, and geographic information system (GIS)",2018,ariel-c-blanco,pending-review,internal,
development-of-a-sentinel-2-based-mangroves-zonation-mapping-workflow-applicat-bac77913,Development of a Sentinel 2-Based Mangroves Zonation Mapping Workflow: Application in the Philippines and Japan,2018,ariel-c-blanco,pending-review,internal,
estimation-of-mangrove-forest-aboveground-biomass-using-multispectral-bands-ve-bc348dce,"ESTIMATION OF MANGROVE FOREST ABOVEGROUND BIOMASS USING MULTISPECTRAL BANDS, VEGETATION INDICES AND BIOPHYSICAL VARIABLES DERIVED FROM OPTICAL SATELLITE IMAGERIES: RAPIDEYE, PLANETSCOPE AND SENTINEL-2",2018,ariel-c-blanco,pending-review,internal,
estimation-of-pm2-5-vertical-distribution-using-customized-uav-and-mobile-sens-6cdd4907,"ESTIMATION OF PM2.5 VERTICAL DISTRIBUTION USING CUSTOMIZED UAV AND MOBILE SENSORS IN BRGY. UP CAMPUS, DILIMAN, QUEZON CITY",2018,ayin-m-tamondong,pending-review,internal,
land-cover-change-and-the-use-of-soilgrids-data-for-assessing-flash-flood-in-m-f0efb855,"Land cover change and the use of SoilGrids data for assessing flash flood in Marikina river basin, The Philippines",2018,ariel-c-blanco,pending-review,internal,
modelling-above-ground-biomass-of-mangrove-forest-using-sentinel-1-imagery-201-d463582e,Modelling above ground biomass of mangrove forest using Sentinel-1 imagery,2018,ariel-c-blanco,pending-review,internal,
reef-scale-modeling-of-coral-calcification-responses-to-ocean-acidification-an-bd0b17b8,Reef-scale modeling of coral calcification responses to ocean acidification and sea-level rise,2018,ariel-c-blanco,pending-review,internal,
remote-sensing-based-estimation-of-seagrass-percent-cover-and-lai-for-above-gr-9a49364e,Remote sensing-based estimation of seagrass percent cover and LAI for above ground carbon sequestration mapping,2018,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
using-omnidirectional-images-for-semi-automatically-generating-indoorgml-data-e78795fd,Using omnidirectional images for semi-automatically generating IndoorGML data,2018,ariel-c-blanco,pending-review,internal,
a-3dgis-multi-agent-geo-simulation-model-for-assessment-of-building-evacuation-f7049bca,A 3DGIS multi-agent geo-simulation model for assessment of building evacuation scenarios considering urgency and knowledge of exits,2019,ariel-c-blanco,pending-review,internal,
analysis-of-the-impact-of-vegetation-distribution-urbanization-and-solar-radia-80807fc1,"ANALYSIS OF THE IMPACT OF VEGETATION DISTRIBUTION, URBANIZATION, AND SOLAR RADIATION ON THE SEASONAL VARIATION OF THE URBAN HEAT ISLAND EFFECT IN CEBU CITY USING LANDSAT AND GLOBAL HORIZONTAL IRRADIANCE DATA",2019,ariel-c-blanco,pending-review,internal,
assessment-of-seagrass-percent-cover-and-water-quality-using-uav-images-and-fi-37e635a6,"Assessment of Seagrass Percent Cover and Water Quality Using Uav Images and Field Measurements in Bolinao, Pangasinan",2019,ayin-m-tamondong,pending-review,internal,
bio-optical-modelling-of-laguna-lake-using-bomber-tool-and-wasi-derived-invert-246c95f8,Bio optical modelling of Laguna Lake using bomber tool and wasi-derived inverted parameters,2019,ariel-c-blanco,pending-review,internal,
canopy-cover-estimation-from-satellite-data-for-acacia-mangium-plantation-basa-8306e08f,"CANOPY COVER ESTIMATION FROM SATELLITE DATA FOR ACACIA MANGIUM PLANTATION BASAY, NEGROS ORIENTAL",2019,ayin-m-tamondong,pending-review,internal,
chlorophyll-a-concentration-retrieval-using-convolutional-neural-networks-in-l-6ff91d79,"Chlorophyll-a concentration retrieval using convolutional neural networks in Laguna Lake, Philippines",2019,ariel-c-blanco,pending-review,internal,
correlation-of-uav-based-multispectral-vegetation-indices-and-leaf-color-chart-6362912a,Correlation of UAV-based multispectral vegetation indices and leaf color chart observations for nitrogen concentration assessment on rice crops,2019,ayin-m-tamondong,pending-review,internal,
estimation-of-chlorophyll-a-concentration-in-laguna-de-bay-using-sentinel-3-sa-539d3c47,Estimation of chlorophyll-a concentration in Laguna de Bay using Sentinel-3 satellite data,2019,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
