publication_id,title,year,research_themes,geomatics_approaches,taxonomy_status,review_notes
automated-calculation-of-cloud-cover-from-rgb-composite-of-landsat-8-and-diwat-3907b005,Automated calculation of cloud cover from rgb composite of landsat 8 and diwata-1 satellite imagery,2016,,earth-observation-remote-sensing,no theme,
design-of-a-free-and-open-source-data-processing-archiving-and-distribution-su-22dc5ef8,"DESIGN OF A FREE AND OPEN SOURCE DATA PROCESSING, ARCHIVING, AND DISTRIBUTION SUBSYSTEM FOR THE GROUND RECEIVING STATION OF THE PHILIPPINE SCIENTIFIC EARTH OBSERVATION MICRO-SATELLITE",2016,,earth-observation-remote-sensing,no theme,
georeferencing-uas-derivatives-through-point-cloud-registration-with-archived-0a6e97cf,Georeferencing UAS derivatives through point cloud registration with archived lidar datasets,2016,,gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,no theme,
nationwide-natural-resource-inventory-of-the-philippines-using-lidar-strategie-96a9a411,"Nationwide natural resource inventory of the Philippines using LiDAR: strategies, progress, and challenges",2016,,lidar-photogrammetry-3d-geomatics,no theme,
assessing-the-vulnerability-of-agricultural-crops-to-riverine-floods-in-kalibo-36ca7aa4,"Assessing the Vulnerability of Agricultural Crops to Riverine Floods in Kalibo, Philippines using Composite Index Method.",2017,climate-hazards-resilience|ecosystems-biodiversity-land-change,,multiple themes,
combination-of-modis-vegetation-indices-grace-terrestrial-water-storage-change-3f36d25e,"Combination of MODIS Vegetation Indices, GRACE Terrestrial Water Storage Changes, and In-Situ Measurements for Drought Assessment in Cagayan River Basin, Philippines",2017,climate-hazards-resilience|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
exploring-climate-change-effects-on-watershed-sediment-yield-and-land-cover-ba-7e56288c,"EXPLORING CLIMATE CHANGE EFFECTS ON WATERSHED SEDIMENT YIELD AND LAND COVER-BASED MITIGATION MEASURES USING SWAT MODEL, RS AND GIS: CASE OF CAGAYAN RIVER BASIN, PHILIPPINES",2017,climate-hazards-resilience|ecosystems-biodiversity-land-change,environmental-spatial-modeling|gis-spatial-analytics,multiple themes,
feature-extraction-and-descriptor-calculation-methods-for-automatic-georeferen-73f0f959,Feature extraction and descriptor calculation methods for automatic georeferencing of Philippines' first microsatellite imagery,2017,,earth-observation-remote-sensing,no theme,
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-12c515aa,Mangrove Forest Extent Mapping in Southwestern Luzon Using 2015 Landsat Imagery,2017,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
a-blend-then-index-method-of-fusing-landsat-and-modis-satellite-images-using-e-07dd55d0,A BLEND-THEN-INDEX METHOD OF FUSING LANDSAT AND MODIS SATELLITE IMAGES USING ENCHANCED SPATIAL AND TEMPORAL ADAPTIVE REFLECTANCE FUSION MODEL (ESTARFM),2018,,earth-observation-remote-sensing,no theme,
estimation-of-mangrove-forest-aboveground-biomass-using-multispectral-bands-ve-bc348dce,"ESTIMATION OF MANGROVE FOREST ABOVEGROUND BIOMASS USING MULTISPECTRAL BANDS, VEGETATION INDICES AND BIOPHYSICAL VARIABLES DERIVED FROM OPTICAL SATELLITE IMAGERIES: RAPIDEYE, PLANETSCOPE AND SENTINEL-2",2018,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
estimation-of-pm2-5-vertical-distribution-using-customized-uav-and-mobile-sens-6cdd4907,"ESTIMATION OF PM2.5 VERTICAL DISTRIBUTION USING CUSTOMIZED UAV AND MOBILE SENSORS IN BRGY. UP CAMPUS, DILIMAN, QUEZON CITY",2018,urban-sustainable-systems|water-air-environmental-quality,lidar-photogrammetry-3d-geomatics,multiple themes,
land-cover-change-and-the-use-of-soilgrids-data-for-assessing-flash-flood-in-m-f0efb855,"Land cover change and the use of SoilGrids data for assessing flash flood in Marikina river basin, The Philippines",2018,climate-hazards-resilience|ecosystems-biodiversity-land-change,,multiple themes,
modelling-above-ground-biomass-of-mangrove-forest-using-sentinel-1-imagery-201-d463582e,Modelling above ground biomass of mangrove forest using Sentinel-1 imagery,2018,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling,multiple themes,
using-omnidirectional-images-for-semi-automatically-generating-indoorgml-data-e78795fd,Using omnidirectional images for semi-automatically generating IndoorGML data,2018,,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,no theme,
analysis-of-the-impact-of-vegetation-distribution-urbanization-and-solar-radia-80807fc1,"ANALYSIS OF THE IMPACT OF VEGETATION DISTRIBUTION, URBANIZATION, AND SOLAR RADIATION ON THE SEASONAL VARIATION OF THE URBAN HEAT ISLAND EFFECT IN CEBU CITY USING LANDSAT AND GLOBAL HORIZONTAL IRRADIANCE DATA",2019,climate-hazards-resilience|ecosystems-biodiversity-land-change|urban-sustainable-systems,earth-observation-remote-sensing,multiple themes,
assessment-of-seagrass-percent-cover-and-water-quality-using-uav-images-and-fi-37e635a6,"Assessment of Seagrass Percent Cover and Water Quality Using Uav Images and Field Measurements in Bolinao, Pangasinan",2019,coastal-marine-systems|water-air-environmental-quality,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,multiple themes,
bio-optical-modelling-of-laguna-lake-using-bomber-tool-and-wasi-derived-invert-246c95f8,Bio optical modelling of Laguna Lake using bomber tool and wasi-derived inverted parameters,2019,,earth-observation-remote-sensing|environmental-spatial-modeling,no theme,
geospatial-assessment-and-modeling-of-urban-heat-islands-in-quezon-city-philip-7a4ded74,"Geospatial assessment and modeling of urban heat islands in Quezon City, Philippines using ols and geographically weighted regression",2019,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling|gis-spatial-analytics,multiple themes,
geospatial-assessment-of-vulnerabilities-of-croplands-to-flooding-risks-a-case-51c1371b,Geospatial assessment of vulnerabilities of croplands to flooding risks: A case study of Philippine river basins,2019,climate-hazards-resilience|ecosystems-biodiversity-land-change,gis-spatial-analytics,multiple themes,
geostatistics-for-air-quality-mapping-case-of-baguio-city-philippines-2019-6f6b0e60,"Geostatistics for air quality mapping: Case of Baguio City, Philippines",2019,urban-sustainable-systems|water-air-environmental-quality,gis-spatial-analytics,multiple themes,
indoorgml-based-topological-data-generation-from-omnidirectional-images-2019-626ce089,IndoorGML-based Topological Data Generation from Omnidirectional Images,2019,,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,no theme,
intra-urban-heat-island-detection-and-trend-characterization-in-metro-manila-u-e7f8c833,Intra-urban heat island detection and trend characterization in Metro Manila using surface temperatures derived from multi-temporal Landsat data,2019,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing,multiple themes,
linear-spectral-unmixing-of-sentinel-3-imagery-for-urban-land-cover-land-surfa-19ceb06c,"Linear spectral unmixing of Sentinel-3 imagery for urban land cover-land surface temperature (LST) analysis: a case study of metro Manila, Philippines",2019,climate-hazards-resilience|ecosystems-biodiversity-land-change|urban-sustainable-systems,earth-observation-remote-sensing,multiple themes,
offshore-submarine-groundwater-discharge-at-a-coral-reef-front-controlled-by-f-3599bac4,Offshore submarine groundwater discharge at a coral reef front controlled by faults,2019,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
optimization-of-ground-control-point-gcp-configuration-for-unmanned-aerial-veh-802fd8de,Optimization of ground control point (GCP) configuration for unmanned aerial vehicle (UAV) survey using structure from motion (SFM),2019,,lidar-photogrammetry-3d-geomatics,no theme,
simulating-species-dominance-in-mixed-mangrove-forests-considering-species-spe-374fc713,"Simulating species dominance in mixed mangrove forests considering species-specific responses to shading, salinity, and inundation frequency",2019,coastal-marine-systems|ecosystems-biodiversity-land-change|water-air-environmental-quality,,multiple themes,
spatial-and-temporal-analysis-of-monthly-water-consumption-and-land-surface-te-54f05b0c,Spatial and temporal analysis of monthly water consumption and land surface temperature (LST) derived using landsat 8 and modis data,2019,climate-hazards-resilience|water-air-environmental-quality,earth-observation-remote-sensing,multiple themes,
spatio-temporal-analysis-of-urban-heat-island-in-mandaue-city-philippines-2019-2ed255cb,"Spatio-temporal analysis of urban heat island in Mandaue City, Philippines",2019,climate-hazards-resilience|urban-sustainable-systems,gis-spatial-analytics,multiple themes,
urban-effects-on-land-surface-temperature-in-davao-city-philippines-2019-fd26caa9,"Urban effects on land surface temperature in Davao City, Philippines",2019,climate-hazards-resilience|urban-sustainable-systems,,multiple themes,
co-evolution-of-landscape-forest-and-soil-in-a-planted-mangrove-eco-park-in-ka-862e90cd,"Co-Evolution of Landscape, Forest, and Soil in a Planted Mangrove Eco-Park in Kalibo, Philippines",2020,coastal-marine-systems|ecosystems-biodiversity-land-change,,multiple themes,
development-and-application-of-a-new-mangrove-vegetation-index-mvi-for-rapid-a-6a323228,Development and application of a new mangrove vegetation index (MVI) for rapid and accurate mangrove mapping,2020,coastal-marine-systems|ecosystems-biodiversity-land-change,geovisualization-decision-support,multiple themes,
evaluation-of-object-based-classification-methods-for-mapping-benthic-habitats-6aa80257,Evaluation of object-based classification methods for Mapping Benthic habitats using Bathymetric LiDAR derivatives,2020,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science|lidar-photogrammetry-3d-geomatics,multiple themes,
modelling-and-simulation-of-potential-future-urbanization-scenarios-and-its-ef-3af05928,"Modelling and simulation of potential future urbanization scenarios and its effect on the microclimate of lower session road, baguio city",2020,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,multiple themes,
modelling-of-land-surface-temperature-using-gray-level-co-occurrence-matrix-an-d939bc98,Modelling of land surface temperature using gray level co-occurrence matrix and random forest regression,2020,climate-hazards-resilience|ecosystems-biodiversity-land-change,environmental-spatial-modeling|geoai-spatial-data-science,multiple themes,
spatial-disaggregation-of-landsat-derived-land-surface-temperature-over-a-hete-8f748bed,Spatial disaggregation of Landsat-derived land surface temperature over a heterogeneous urban landscape using planetscope image derivatives,2020,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing,multiple themes,
blue-carbon-ecosystem-services-through-a-vulnerability-lens-opportunities-to-r-a02e3f31,Blue carbon ecosystem services through a vulnerability lens: opportunities to reduce social vulnerability in fishing communities,2021,climate-hazards-resilience|coastal-marine-systems,,multiple themes,
development-of-a-framework-for-a-functional-structural-seagrass-transplantatio-1461f6c9,Development of a Framework for a Functional-Structural Seagrass Transplantation Simulation using GAMA Platform.,2021,coastal-marine-systems|ecosystems-biodiversity-land-change,environmental-spatial-modeling,multiple themes,
development-of-the-im4manilabay-mapable-web-portal-2021-d8a1336e,Development of the IM4MANILABAY Mapable Web Portal,2021,,geovisualization-decision-support,no theme,
development-of-the-masdan-mobile-application-and-web-based-gis-interface-for-t-a4d35267,Development of the Masdan Mobile Application and Web-Based GIS Interface for the Monitoring and Management of the Manila Bay Environment,2021,,geovisualization-decision-support|gis-spatial-analytics,no theme,
evaluation-of-the-cooling-effect-of-green-and-blue-spaces-on-urban-microclimat-a47d5ab4,"Evaluation of the cooling effect of green and blue spaces on urban microclimate through numerical simulation: A case study of Iloilo River Esplanade, Philippines",2021,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,multiple themes,
limitation-assessment-and-workflow-refinement-of-the-mangrove-vegetation-index-d7dd8e3c,Limitation assessment and workflow refinement of the mangrove vegetation index (MVI)-based mapping methodology using sentinel-2 imagery,2021,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
mangrove-biomass-estimation-using-canopy-height-and-wood-density-in-the-south-8a0689c3,Mangrove biomass estimation using canopy height and wood density in the South East and East Asian regions,2021,coastal-marine-systems|ecosystems-biodiversity-land-change,,multiple themes,
mapping-coloured-dissolved-organic-matter-in-manila-bay-using-sentinel-3-and-w-eecef37f,Mapping coloured dissolved organic matter in Manila Bay Using SENTINEL-3 and Wasi,2021,,earth-observation-remote-sensing,no theme,
monitoring-post-disaster-mangrove-forest-recoveries-in-lawaan-balangiga-easter-8e9ba850,"Monitoring post-disaster mangrove forest recoveries in Lawaan-Balangiga, Eastern Samar using time series analysis of moisture and vegetation indices",2021,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
multi-sensor-approach-to-leaf-area-index-estimation-using-statistical-machine-e33afb95,Multi-sensor approach to leaf area index estimation using statistical machine learning models: A case on mangrove forests,2021,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science,multiple themes,
post-disaster-assessment-of-mangrove-forest-recovery-in-lawaan-balangiga-easte-38df9077,"Post-disaster assessment of mangrove forest recovery in lawaan-balangiga, eastern samar using ndvi time series analysis",2021,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
present-day-vertical-land-movement-in-san-fernando-la-union-and-currimao-iloco-6480b168,"Present-day vertical land movement in San Fernando (La Union) and Currimao (Ilocos Norte), northwest Luzon, Philippines",2021,,,no theme,
scaling-relations-and-substrate-conditions-controlling-the-complexity-of-rhizo-1e85f5b0,Scaling relations and substrate conditions controlling the complexity of Rhizophora prop root system,2021,,,no theme,
semi-automated-delineation-of-informal-settlement-structures-from-drone-rgb-im-811906ac,Semi-Automated Delineation of Informal Settlement Structures from Drone RGB Imagery Using Object-Based Image Analysis,2021,,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,no theme,
spatio-temporal-mapping-and-analysis-of-mangrove-extents-around-manila-bay-usi-864d7d85,Spatio-temporal mapping and analysis of mangrove extents around Manila Bay using Landsat satellite imagery and Mangrove Vegetation Index (MVI),2021,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|gis-spatial-analytics,multiple themes,
supplementing-satellite-imagery-with-social-media-data-for-remote-reconnaissan-eed7ecf6,Supplementing satellite imagery with social media data for remote reconnaissance: A case study of the 2020 Taal volcano eruption,2021,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing,multiple themes,
time-series-analysis-for-monitoring-seagrass-habitat-and-environment-in-busuan-01d160bb,"Time series analysis for monitoring seagrass habitat and environment in busuanga, Philippines using google earth engine",2021,coastal-marine-systems|ecosystems-biodiversity-land-change,,multiple themes,
creating-value-from-philippine-space-activities-mobilizing-space-data-2022-7ba2537b,Creating Value from Philippine Space Activities: Mobilizing Space Data,2022,,,no theme,
evaluating-mitigation-strategies-for-urban-heat-island-in-mandaue-city-using-e-8296f63a,Evaluating mitigation strategies for urban heat island in Mandaue City using ENVI-met,2022,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,multiple themes,
field-measurement-and-prediction-of-drag-in-a-planted-rhizophora-mangrove-fore-db3119d9,Field Measurement and Prediction of Drag in a Planted Rhizophora Mangrove Forest,2022,coastal-marine-systems|ecosystems-biodiversity-land-change,,multiple themes,
integrated-gis-and-air-dispersion-modeling-approach-for-roadside-pollutant-map-d6504326,"Integrated GIS and air dispersion modeling approach for roadside pollutant mapping: a case study in Baguio City, Philippines",2022,urban-sustainable-systems|water-air-environmental-quality,environmental-spatial-modeling|gis-spatial-analytics,multiple themes,
integrated-remote-sensing-and-coupled-watershed-ocean-vegetation-modeling-for-b733d392,"Integrated Remote Sensing and Coupled Watershed-Ocean-Vegetation Modeling for Seagrass Studies in Busuanga, Palawan, Philippines",2022,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling,multiple themes,
lake-water-level-variability-determination-from-sar-backscatter-of-discrete-ob-a072e5a4,"Lake water level variability determination from SAR backscatter of discrete objects, GNSS levelling and satellite altimetry",2022,,earth-observation-remote-sensing,no theme,
optimization-of-tree-positioning-to-maximize-walking-in-urban-outdoor-spaces-a-b349c114,Optimization of tree positioning to maximize walking in urban outdoor spaces: A modeling and simulation framework,2022,ecosystems-biodiversity-land-change|urban-sustainable-systems,environmental-spatial-modeling,multiple themes,
quantifying-vertical-land-motion-at-tide-gauge-sites-using-permanent-scatterer-c80d8b14,Quantifying vertical land motion at tide gauge sites using permanent scatterer interferometric synthetic aperture radar and global navigation satellite system solutions,2022,,earth-observation-remote-sensing,no theme,
seagrass-biomass-and-sediment-carbon-in-conserved-and-disturbed-seascape-2022-e6b8ca73,Seagrass biomass and sediment carbon in conserved and disturbed seascape,2022,coastal-marine-systems|ecosystems-biodiversity-land-change,,multiple themes,
simulation-of-urban-heat-island-during-a-high-heat-event-using-wrf-urban-canop-c350be55,Simulation of urban heat island during a high-heat event using WRF urban canopy models: A case study for Metro Manila,2022,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,multiple themes,
assessing-and-modelling-urban-heat-island-in-baguio-city-using-landsat-imagery-c70c16eb,Assessing and modelling urban heat Island in Baguio City using Landsat imagery and machine learning,2023,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing|environmental-spatial-modeling|geoai-spatial-data-science,multiple themes,
detailed-mapping-of-residential-land-use-in-quezon-city-using-sentinel-2-image-750eea2e,Detailed Mapping of Residential Land Use in Quezon City Using SENTINEL-2 Imagery: AN Analysis of Pixel-Based Image Classification Using Support Vector Machine,2023,ecosystems-biodiversity-land-change|urban-sustainable-systems,earth-observation-remote-sensing|geoai-spatial-data-science,multiple themes,
influence-of-the-el-ni-o-southern-oscillation-to-the-interannual-sea-level-var-17908acf,Influence of the El Niño Southern Oscillation to the interannual sea-level variability in the Philippine Sea,2023,,,no theme,
manila-bay-watershed-scorecard-a-gis-based-quantitative-watershed-health-asses-cb1f50ce,Manila Bay Watershed Scorecard: a Gis-Based Quantitative Watershed Health Assessment,2023,,gis-spatial-analytics,no theme,
mapping-multi-decadal-mangrove-forest-change-in-the-philippines-vegetation-ext-28e993ca,Mapping multi-decadal mangrove forest change in the Philippines: vegetation extent and impacts of anthropogenic and climate-related factors,2023,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,,multiple themes,
modeling-flow-and-sediment-dynamics-in-an-estuarine-mangrove-forest-and-adjace-393804c6,Modeling flow and sediment dynamics in an estuarine mangrove forest and adjacent areas: the impact of mangrove forest dynamics on landscape evolution,2023,coastal-marine-systems|ecosystems-biodiversity-land-change,environmental-spatial-modeling,multiple themes,
philippines-case-study-two-looking-into-the-management-strategies-of-three-phi-a30e53a6,Philippines Case Study Two: Looking into the Management Strategies of Three Philippine National Integrated Protected Area System (NIPAS) Sites,2023,,,no theme,
surface-urban-heat-islands-and-related-health-risk-in-the-philippines-a-geospa-d01697ed,Surface urban heat islands and related health risk in the Philippines: A geospatial assessment using MODIS data,2023,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing|gis-spatial-analytics,multiple themes,
