publicationId,title,year,authors,sourceOrVenue,publicationType,doi,url,facultyRelationships,researchThemes,geomaticsApproaches,visibility,bibliographicStatus,sourceProvenance,internalNotes,sourceRows,sourceReviewStatuses
connectivity-and-impact-assessment-of-land-use-cover-and-benthic-cover-change-cb67f416,Connectivity and impact assessment of land use/cover and benthic cover change by advance remote sensing analysis,2005,"MCR Paringit, EC Paringit, K Nadaoka, AC Blanco",,other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,216,READY - supported title and year
2005-6ce15bb3,衛星データに基づく八重山諸島における土地利用・植生被覆の長期的変遷と周辺サンゴ礁域の海底被覆状態変化の関係解析,2005,"MCD Rubio, EC Paringit, AC Blanco","海岸工学論文集 52, 1111-1115",other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,215,READY - supported title and year
a-comparative-assessment-and-estimation-of-potential-soil-erosion-rates-and-pa-53d134bc,A Comparative Assessment and Estimation of Potential Soil Erosion Rates and Patterns in Laguna Lake Watershed Using Three Models,2006,"CB Ariel, A Blanco",Japan Society for the Promotion of Science (JSPS) and University of the …,other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,213,READY - supported title and year
a-comparative-assessment-and-estimation-of-potential-soil-erosion-rates-and-pa-a504171c,A Comparative Assessment and Estimation of Potential Soil Erosion Rates and Patterns in Laguna Lake Watershed Using Three Models: Towards Development of an Erosion Index System for Integrated Watershed-Lake Management,2006,"AC Blanco, K Nadaoka","Symposium on Infrastructure Development and the Environment, 7-8",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,25,READY - supported title and year
complementarity-of-sensor-based-measurements-and-community-perception-for-moni-7044512d,Complementarity of sensor-based measurements and community perception for monitoring and management of seawater quality,2006,"MCR Paringit, K Nadaoka, T Pokavanich, H Iizuka, AC Blanco, ...",,other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,214,READY - supported title and year
a-multi-scale-investigation-of-environmental-controls-onn-shiraho-coral-reef-t-3cc2ef2c,"A multi-scale investigation of environmental controls onn Shiraho Coral Reef through Field Measurements, Remote Sensing and GIS",2007,"CB Ariel, A Blanco, K NADAOKA, T YAMAMOTO","Abstracts, 21st Pacific Science Congress, Okinawa, Japan, 91",other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,210,READY - supported title and year
coral-mortality-discrimination-and-change-detection-using-landsat-tm-and-etm-i-3dad614c,"Coral mortality discrimination and change detection using Landsat TM And ETM+ imageries of Balabac, Palawan",2007,"MAR Abella, J Cy, LT David",28th Asian Conference on Remote Sensing. Kuala Lumpur,other,,,margaux-angelica-a-cruz,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,344,READY - supported title and year
integrated-analysis-of-socio-economic-and-environmental-statistics-towards-dev-595c86ae,Integrated analysis of socio-economic and environmental statistics towards development of coupled economy-environment indicators for Fiji and Samoa,2007,"CB Ariel, A Blanco, K NADAOKA","Abstracts, 21st Pacific Science Congress, Okinawa, Japan, 285",other,,,ariel-c-blanco,urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,,212,READY - supported title and year
integrated-socio-environmental-investigation-of-water-quality-condition-in-pue-3534261f,Integrated socio-environmental investigation of water quality condition in Puerto Galera: The Decision Supported System Development,2007,"T Pokavanich, K NADAOKA, CB Ariel, A Blanco, MC Rubio","Abstract, 21st Pacific Science Congress, Okinawa, Japan, 78",other,,,ariel-c-blanco,water-air-environmental-quality,geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,,208,READY - supported title and year
spatial-and-temporal-distribution-composition-of-nutrients-microalgae-and-cdom-5e145ef6,"Spatial and temporal distribution composition of nutrients, microalgae and CDOM in Shiraoh reef, ishigaki island",2007,"B Ariel, A Blanco, K Nadaoka, T Yamamoto",Abstracts of the Japan Geoscience Union Meeting 2007 [CD],other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,211,READY - supported title and year
water-balance-analysis-of-laguna-de-bay-philippines-with-focus-on-lake-water-u-13ecf836,"Water balance analysis of Laguna de Bay, Philippines with focus on lake-water use and salinity intrusion",2007,"H EUGENE, EC HERRERA, K NADAOKA, CB Ariel, A Blanco","Abstracts of the Japan Geoscience Union Meeting 2007,[CD]",other,,,ariel-c-blanco,water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,209,READY - supported title and year
comprehensive-circulation-and-water-quality-investigation-of-the-coastal-lagoo-7aa94dd8,"Comprehensive circulation and water quality investigation of the coastal lagoon: Puerto Galera, The Philippines",2008,"T Pokavanich, K Nadaoka, AC Blanco",Proceedings of 8th International Conference on Hydro-science and Engineering …,other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,78,READY - supported title and year
planktonic-and-benthic-microalgal-community-composition-as-indicators-of-terre-80546387,"Planktonic and benthic microalgal community composition as indicators of terrestrial influence on a fringing reef in Ishigaki Island, Southwest Japan",2008,"AC Blanco, K Nadaoka, T Yamamoto","Marine Environmental Research 66 (5), 520-535",other,,,ariel-c-blanco,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,,6,READY - supported title and year
assessment-of-philippine-coastal-vulnerability-to-sea-level-rise-using-rs-and-a026c99f,"Assessment of Philippine Coastal Vulnerability to Sea Level Rise Using RS and GIS: A Case Study of Bolinao, Pangasinan",2009,"SRC Reyes, AC Blanco",Philippine Engineering Journal 30 (2),other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,160,READY - supported title and year
a-comprehensive-assessment-of-terrestrial-loadings-and-their-influence-on-a-fr-0ae8d66e,"A comprehensive assessment of terrestrial loadings and their influence on a fringing reef in Ishigaki Island, Okinawa, Japan",2010,"AC BLANCO, K NADAOKA, T YAMAMOTO, A WATANABE, K KINJO, ...","Asian and Pacific Coasts 2009: (In 4 Volumes, with CD-ROM), 228-235",other,10.1142/9789814287951_0167,https://doi.org/10.1142/9789814287951_0167,ariel-c-blanco,coastal-marine-systems,,internal,verified,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"159,228",READY - supported title and year
dynamic-evolution-of-nutrient-discharge-under-stormflow-and-baseflow-condition-781ae7d6,"Dynamic evolution of nutrient discharge under stormflow and baseflow conditions in a coastal agricultural watershed in Ishigaki Island, Okinawa, Japan",2010,"AC Blanco, K Nadaoka, T Yamamoto, K Kinjo","Hydrological Processes 24 (18), 2601-2616",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,10,READY - supported title and year
remote-sensing-and-gis-based-assessment-of-coastal-vulnerability-of-bolinao-pa-e362e20b,"Remote sensing and GIS-based assessment of coastal vulnerability of Bolinao, Pangasinan to sea level rise",2010,"SRC Reyes, AC Blanco",,other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,207,READY - supported title and year
roles-of-sporadic-intrusion-of-outer-sea-water-in-water-exchange-and-water-qua-f12c2d60,"Roles of sporadic intrusion of outer sea water in water exchange and water quality variations in the coastal lagoon of puerto galera, philippines",2010,"T Pokavanich, K Nadaoka, AC Blanco","Asian and Pacific Coasts 2009: (In 4 Volumes, with CD-ROM), 232-238",other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,137,READY - supported title and year
a-partnership-for-sustainable-lake-environment-collaborative-monitoring-and-re-1f55a6ce,"A partnership for sustainable lake environment: collaborative monitoring and research on Laguna de Bay, Philippines, for management of resource use and ecosystem conservation",2011,"EC Herrera, K Nadaoka, AC Blanco, EC Hernandez","Lakes & Reservoirs: Research & Management 16 (2), 137-148",other,10.1111/j.1440-1770.2011.00449.x,https://doi.org/10.1111/j.1440-1770.2011.00449.x,ariel-c-blanco,,,internal,verified,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"53,227",READY - supported title and year
advanced-systems-for-detection-of-toxic-substances-towards-a-more-eco-efficien-4989e592,ADVANCED SYSTEMS FOR DETECTION OF TOXIC SUBSTANCES. TOWARDS A MORE ECO-EFFICIENT AIRCRAFT,2011,"C Cruz, JP Santos, M Aleixandre, A Blanco, MC Horrillo",,other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,225,READY - supported title and year
estimation-of-nearshore-groundwater-discharge-and-its-potential-effects-on-a-f-dfbb376c,Estimation of nearshore groundwater discharge and its potential effects on a fringing coral reef,2011,"AC Blanco, A Watanabe, K Nadaoka, S Motooka, EC Herrera, ...","Marine pollution bulletin 62 (4), 770-785",other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,8,READY - supported title and year
assessment-of-coastal-vulnerability-to-sea-level-rise-of-bolinao-pangasinan-us-63e12e19,"Assessment of coastal vulnerability to sea level rise of Bolinao, Pangasinan using remote sensing and geographic information systems",2012,"SRC Reyes, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,35,READY - supported title and year
assessment-of-coastal-vulnerability-to-sea-level-rise-using-remote-sensing-rs-1f8cacfa,"Assessment of coastal vulnerability to sea level rise using remote sensing (RS) and geographic information systems (GIS): a case study of Bolinao, Pangasinan, Philippines",2012,"SR Reyes, AC Blanco","Asian and Pacific Coasts 2011, 377-384",other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,65,READY - supported title and year
climate-change-impact-assessment-on-soil-loss-rate-in-a-large-river-basin-usin-f9b44869,"Climate Change Impact Assessment on Soil Loss Rate in a Large River Basin Using SWAT Model, RS and GIS",2012,"JA PRINCIPE, AC BLANCO",,other,,,ariel-c-blanco,climate-hazards-resilience,environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,204,READY - supported title and year
extraction-of-benthic-cover-information-from-video-tows-and-photographs-using-cdddf666,Extraction of benthic cover information from video tows and photographs using object-based image analysis,2012,"MTL Estomata, AC Blanco, K Nadaoka, ECM Tomoling","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,98,READY - supported title and year
integrated-use-of-electrical-resistance-tomography-and-radon-monitoring-for-ch-05865674,INTEGRATED USE OF ELECTRICAL RESISTANCE TOMOGRAPHY AND RADON MONITORING FOR CHARACTERIZING SUBMARINE GROUNDWATER DISCHARGE DYNAMICS IN A FRINGING REEF,2012,"AC BLANCO, K NADAOKA, A WATANABE","Asian And Pacific Coasts 2011, 1102-1109",other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,206,READY - supported title and year
integrated-use-of-remote-sensing-gis-and-swat-model-to-explore-climate-change-dea1dba8,"Integrated use of remote sensing, GIS and swat model to explore climate change effects on river discharge in the Cagayan river Basin and land cover-based adaptation measures",2012,"JA Principe, AC Blanco","Proceedings of the 33rd Asian Conference on Remote Sensing, 1509-1518",other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,117,READY - supported title and year
key-biodiversity-areas-in-the-philippines-priorities-for-conservation-2012-186d6812,Key biodiversity areas in the Philippines: priorities for conservation,2012,"RGR Ambal, MV Duya, MA Cruz, OG Coroza, SG Vergara, N de Silva, ...","Journal of Threatened Taxa 4 (8), 2788-2796",other,,,margaux-angelica-a-cruz,ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,343,READY - supported title and year
sediment-discharge-from-an-agricultural-watershed-investigating-the-influence-6cf2e887,Sediment discharge from an agricultural watershed: investigating the influence of land-cover fragmentation using the GSSHA model,2012,"AC BLANCO, K NADAOKA, MCR PARINGIT","IAHS-AISH publication, 271-275",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,205,READY - supported title and year
evaluating-mean-sea-level-anomalies-for-the-philippines-using-satellite-altime-72982352,EVALUATING MEAN SEA LEVEL ANOMALIES FOR THE PHILIPPINES USING SATELLITE ALTIMETRY DATA AND GEOGRAPHIC INFORMATION SYSTEMS (GIS),2013,"SRC REYES, AC BLANCO",,other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,161,READY - supported title and year
improved-classification-of-moderate-resolution-satellite-image-using-band-rati-ca0eaf82,"IMPROVED CLASSIFICATION OF MODERATE RESOLUTION SATELLITE IMAGE USING BAND RATIO, NBAI AND PC TRANSFORM",2013,"JA Principe, AC Blanco, T Yamamoto, K Nadaoka",,other,,,ariel-c-blanco,,earth-observation-remote-sensing|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,230,READY - supported title and year
mapping-of-seagrass-and-other-benthic-habitats-in-bolinao-pangasinan-using-wor-19106cde,"Mapping of seagrass and other benthic habitats in Bolinao, Pangasinan using Worldview-2 satellite image",2013,"AM Tamondong, AC Blanco, MD Fortes, K Nadaoka","2013 IEEE International Geoscience and Remote Sensing Symposium-IGARSS, 1579 …",other,10.1109/igarss.2013.6723091,https://doi.org/10.1109/igarss.2013.6723091,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"14,235",READY - supported title and year
phenological-changes-in-alaminos-and-bani-watersheds-derived-using-modis-data-f2c36ea3,Phenological Changes in Alaminos and Bani Watersheds Derived Using MODIS Data: Indications of Salinity Intrusion,2013,"R Sith, AC Blanco",,other,,,ariel-c-blanco,ecosystems-biodiversity-land-change|water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,226,READY - supported title and year
seasonal-variability-of-water-quality-around-patch-reefs-inside-a-lagoon-from-24a3a297,Seasonal variability of water quality around patch reefs inside a lagoon from its interaction with outer sea,2013,"T POKAVANICH, T YAMAMOTO, K NADAOKA, AC BLANCO","Galaxea, Journal of Coral Reef Studies 15 (Supplement), 54-59",other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,158,READY - supported title and year
spatiotemporal-variations-in-co2-flux-in-a-fringing-reef-simulated-using-a-nov-c8064ef1,Spatiotemporal variations in CO2 flux in a fringing reef simulated using a novel carbonate system dynamics model,2013,"A Watanabe, T Yamamoto, K Nadaoka, Y Maeda, T Miyajima, Y Tanaka, ...","Coral Reefs 32 (1), 239-254",other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,31,READY - supported title and year
swat-model-for-assessment-of-climate-change-and-land-use-land-cover-change-imp-bfef776d,Swat Model for Assessment of Climate Change and Land Use/Land Cover Change Impact on Philippine Soil Loss and Exploration of Land Cover-Based Mitigation Measures: Case of Cagayan,2013,"J Principe, A Blanco","ASEAN Eng. J. Part C 3, 104",other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,70,READY - supported title and year
3dgis-based-multi-agent-geosimulation-and-visualization-of-building-evacuation-882b11a4,3DGIS-based multi-agent geosimulation and visualization of building evacuation using GAMA platform,2014,"EG Macatulad, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,environmental-spatial-modeling|geovisualization-decision-support|gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,23,READY - supported title and year
a-framework-for-assessing-risk-from-natural-hazards-including-climate-change-f-e5b67e9f,"A FRAMEWORK FOR ASSESSING RISK FROM NATURAL HAZARDS INCLUDING CLIMATE CHANGE FOR WATER, WASTEWATER AND SOLID WASTE SERVICES",2014,"L Magpili, G Louis, CA Pinto, J Henriquez, A Blanco, P Bishop",Proceedings of the International Annual Conference of the American Society …,other,,,ariel-c-blanco,climate-hazards-resilience,,internal,source-supported,Supplied Google Scholar profile copy,,203,READY - supported title and year
assessment-of-water-quality-variations-in-san-juan-river-using-gis-and-multiva-d43738e5,Assessment of water quality variations in San Juan River using GIS and multivariate statistical techniques,2014,"A Blanco, A Alarilla, R Dimalibot, M Bonga, E Paringit","ASEAN Engineering Journal Part C 2 (2), 24",other,,,ariel-c-blanco,water-air-environmental-quality,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,136,READY - supported title and year
change-in-seagrass-fractional-cover-in-bolinao-and-anda-philippines-derived-fr-72368896,"Change in seagrass fractional cover in Bolinao and Anda, Philippines, derived from Landsat images",2014,"AC Blanco, A Tamondong, E Tagle, M Fortes, K Nadaoka","Proceedings of the 35th Asian Conference on Remote Sensing, ACRS",other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"116,263",READY - supported title and year
coupling-artificial-neural-networks-and-genetic-algorithms-in-redesigning-exis-911c9cd4,Coupling artificial neural networks and genetic algorithms in redesigning existing cities for flood resistance,2014,"GO Cruz, F Ballesteros Jr, A Blanco",ACHI,other,,,ariel-c-blanco,climate-hazards-resilience,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,157,READY - supported title and year
development-and-applications-of-an-integrated-decision-support-system-for-real-025efd31,Development and Applications of an Integrated Decision Support System for realizing Sustainable Aquaculture and Coastal Ecosystem in Bolinao and its surrounding areas,2014,"CB Ariel, A Blanco, M Yoshikai, T Tsuchiya, K NADAOKA, A Watanabe, ...",(No Title),other,,,ariel-c-blanco,coastal-marine-systems,geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,,202,READY - supported title and year
feature-classification-using-supervised-classification-support-vector-machines-fed1adbe,FEATURE CLASSIFICATION USING SUPERVISED CLASSIFICATION SUPPORT VECTOR MACHINES,2014,"TAM Rollan, MV Jerez, AC Blanco",,other,,,ariel-c-blanco,,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,200,READY - supported title and year
geovisualization-of-land-use-and-zoning-ordinances-in-boracay-island-malay-akl-48ff746a,"Geovisualization of Land Use and Zoning Ordinances in Boracay Island, Malay, Aklan",2014,"CB Ariel, A Blanco, K NADAOKA",(No Title),other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,,201,READY - supported title and year
a-multi-scale-approach-for-benthic-habitat-mapping-of-shallow-water-region-of-1a90250a,"A multi-scale approach for benthic habitat mapping of shallow water region of Guiuan, Eastern Samar using a 4-band high resolution WorldView-2 satellite image using object-based image analysis",2015,"MSP Estabillo, AM Tamondong",36th Asian Conference on Remote Sensing Philippines2015,other,,,ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,255,READY - supported title and year
combining-watershed-transformation-and-local-maxima-approach-in-developing-a-t-0f499afb,Combining Watershed Transformation and Local Maxima Approach in Developing a Tree Detection and Counting Methodology using Object-Based Image Analysis,2015,"TA ROLLAN, C CARRANZA, M JEREZ, A BLANCO",Proceedings of South East Asian Survey Congress,other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,115,READY - supported title and year
development-of-the-philippine-hydrologic-dataset-phd-from-lidar-and-other-remo-f661fea6,Development of the Philippine Hydrologic Dataset (PHD) from LiDAR and other remotely-sensed data,2015,"AMC Perez, MC Gaspa, DS Aloc, MAP Mahor, KAC Gonzalez, ...",Earth Resources and Environmental Remote Sensing/GIS Applications VI 9644 …,other,,,ariel-c-blanco,,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,135,READY - supported title and year
evaluation-of-canny-edge-detection-and-muti-threshold-segmentation-technique-f-8ca1fd17,Evaluation of Canny Edge Detection and Muti-Threshold Segmentation Technique for Precise Mapping and Inventory of Aquaculture Ponds in Coastal Areas,2015,"RV Peralta, AM Tamondong",,other,,,ayin-m-tamondong,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,,254,READY - supported title and year
geostatistical-analysis-of-water-quality-in-bolinao-pangasinan-2015-df91c8bc,"GEOSTATISTICAL ANALYSIS OF WATER QUALITY IN BOLINAO, PANGASINAN",2015,"RV Ramos, AC Blanco",,other,,,ariel-c-blanco,water-air-environmental-quality,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,233,READY - supported title and year
hydrodynamic-investigation-of-a-shallow-tropical-lake-environment-laguna-lake-1a41c342,"Hydrodynamic investigation of a shallow tropical lake environment (Laguna Lake, Philippines) and associated implications for eutrophic vulnerability",2015,"E Herrera, K Nadaoka, A Blanco, E Hernandez","ASEAN Engineering Journal 4 (1), 48-62",other,,,ariel-c-blanco,climate-hazards-resilience,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,21,READY - supported title and year
light-detection-and-ranging-lidar-data-processing-and-classification-for-bathy-f90e020b,LIGHT DETECTION AND RANGING (LIDAR) DATA PROCESSING AND CLASSIFICATION FOR BATHYMETRIC DEM GENERATION OF PHILIPPINE SHALLOW WATERS,2015,"JM Medina, JF Prieto, SJD Samalburo, MRCO Ang",,other,,,jommer-m-medina,coastal-marine-systems,geoai-spatial-data-science|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,342,READY - supported title and year
mangrove-forest-extent-mapping-in-siargao-island-surigao-del-norte-philippines-37448696,"MANGROVE FOREST EXTENT MAPPING IN SIARGAO ISLAND, SURIGAO DEL NORTE, PHILIPPINES USING SUPPORT VECTOR MACHINE (SVM) CLASSIFICATION",2015,"G Al Jayson, AB Baloloy, AC Blanco, LT David",,other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,232,READY - supported title and year
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-569f6518,Mangrove forest extent mapping in Southwestern Luzon using 2015 landsat imagery,2015,"AJ Songcuan, AB Baloloy, AC Blanco, LT David, GA Go, IE Cadalzo, ...","Proceedings of the 36th Asian Conference on RS (ACRS), Quezon City …",other,,,ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,247,READY - supported title and year
