record_id,year,thesis_title,association_basis,publication_decision,reasons,review_notes
bsge-2024-106,2024,"Assessing Fecal Coliform Presence in the Municipal Waters of Dapa, Surigao Del Norte: A Comparative Study of Empirical and Machine Learning Approaches Using Landsat 8 and 9",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2024-108,2024,"Modeling and Impact Assessment of Solar Farm Expansion Using Machine Learning, Remote Sensing, and GIS Techniques",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2024-103,2024,Onshore Wind Farms Suitability Analysis Using GIS-based AHP-PROMETHEE II,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2024-109,2024,Potential Assessment of Agrivoltaic Systems In the Philippines Using RS And GIS: Case of Pangasinan Province,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association; slug collision,
bsge-2024-102,2024,Potential Assessment of Agrivoltaic Systems in The Philippines Using RS and GIS: Case of Pangasinan Province,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2023-088,2023,Bites and Pixels: Dengue Risk Zone Map of Quezon City Based on Environmental and Socioeconomic Variables using Geographic Information System and Remoste Sensing,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2023-074,2023,"Estimation and Mapping of Mangrove Aboveground Biomass in Zambales Province using Sentinel-2, Sentinel-1, and ALOS-2/PALSAR-2",main-adviser,approve,suspicious/combined co-adviser cell,
bsge-2023-091,2023,GIS-based Suitability Analysis for Vertical Green Spaces in the City of Manila using Analytic Hierarchy Process (AHP),co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2023-090,2023,Site Suitability Analysis of Salt Farms in Pangasinan using Geospatial Data and Analytic Hierarchy Process,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2023-092,2023,Spatiotemporal Analysis of Satellite-based Trace Gases Concentrations in Port Areas in the Philippines,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2023-089,2023,Spatiotemporal Analysis of Traffic Accidents Hotspots using Twitter Data: The Case of Quezon City,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2023-082,2023,Typhoon Karding (Noru) Storm Surge Analysis using the COAWST Modeling System,main-adviser,approve,suspicious/combined co-adviser cell,
bsge-2021-067,2021,"Archaeological Feature Detection for Shipwrecks Site Exploration Using Remote Sensing along Mestizo River in Caoayan, Ilocos Sur.",co-adviser-only,approve,missing abstract; missing keywords; co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2021-068,2021,Archaeological Feature Detection of the Historical Gold Trade Network in Northwestern Luzon Using High-Resolution Satellite Images and Lidar-derived Digital Terrain Model.,co-adviser-only,approve,missing abstract; missing keywords; co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2021-066,2021,"Coconut Tree (Cocos Nucifera) Detection and Counting from Worldview-3 Imagery Using Object-Based Image Analysis, Local Peak Detection, and Template Matching",main-adviser,approve,missing abstract; missing keywords,
bsge-2021-069,2021,"Geovisualization of “Busyness” of Establishments Along Maginhawa Street, Quezon City for the Management of “New Normal” Under the Food Service Category Using Geographic Information Systems.",co-adviser-only,approve,missing abstract; missing keywords; co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2021-070,2021,Post-Disaster Remote Reconnaissance of the 2020 Taal Volcano Eruption Using Diwata-2 Satellite Images and Social Media Data,co-adviser-only,approve,missing abstract; missing keywords; co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-065,2019,"Assessment of Seagrass Percent Cover and Water Quality using UAV Images and Field Measurements in Bolinao, Pangasinan",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-061,2019,"Assessment of White Grub Infestation of Sugarcane in Barangay Calan, Balayan, Batangas using Sentinel-2B Multispectral Images",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-060,2019,"Bathymetric Mapping of Shallow Waters of Lian, Batangas using Unmanned Aerial Vehicle (UAV)",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-058,2019,Correlation of UAV-based Multispectral Vegetation Indices and Leaf Color Chart Observations for Nitrogen Concentration Assessment on Rice Crops,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-063,2019,"Deriving Hard Coral Cover in Lian, Batangas using Planetscope Imagery by Mixture Tuned Matched Filtering Technique",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-064,2019,Determination of Drainage Pipe Conditions using Ground Penetrating Radar (GPR),co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-062,2019,Estimation and Analysis of Aerosol Optical Thickness (AOT) in Metro Manila from 2015 to 2018 using Remote Sensing and GIS,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2019-052,2019,Estimation of Chlorophyll-a Concentration in Sampaloc Lake using UAS Multispectral Remote Sensing and Regression Analysis,main-adviser,approve,missing keywords,
bsge-2019-059,2019,Proposed Sugarcane Phenotyping System for SRA-LAREC Experimental Plots through UAV-based Remote Sensing,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2018-046,2018,Detecting and Monitoring Aquaculture Structures using Object-based Image Analysis in Laguna de Bay using DIWATA-1 and Landsat 8 Images,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2018-047,2018,"GIS-based Comparative Analysis of Solid Waste Collection Systems in Barangays Central and Pinyahan, Quezon City",co-adviser-only,approve,missing keywords; co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2018-033,2018,Parking Pattern Assessment and Optimal Parking Space Analysis using GIS: The Case Study of Quezon City Central Business District,main-adviser,approve,missing keywords,
bsge-2018-045,2018,Using Remote Sensing and ARIMA Modelling in Assessing the Effectiveness of Implemented Forest Laws by Forest Change Monitoring,co-adviser-only,approve,missing keywords; co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2017-027,2017,"Chlorophyll-a Estimation in San Pablo Bay, Leyte using RS Based Models",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2017-013,2017,Estimation of Blue Carbon Stocks from Mangroves using Remotely-sensed Datasets,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2014-002,2014,A Multi-Method Approach for Classification of Multibeam Echosounder Data for Benthic Habitat Mapping,main-adviser,approve,missing keywords,
